,o_state_id,o_state_name,d_state_id,d_state_name,race,quintile,n
117,1,Alabama,6,California,Other,3,56
118,1,Alabama,6,California,Other,4,38
119,1,Alabama,6,California,Other,5,29
120,1,Alabama,6,California,White,1,250
121,1,Alabama,6,California,White,2,364
122,1,Alabama,6,California,White,3,516
123,1,Alabama,6,California,White,4,500
124,1,Alabama,6,California,White,5,793
125,1,Alabama,8,Colorado,Asian,1,0
126,1,Alabama,8,Colorado,Asian,2,2
127,1,Alabama,8,Colorado,Asian,3,5
128,1,Alabama,8,Colorado,Asian,4,4
129,1,Alabama,8,Colorado,Asian,5,5
130,1,Alabama,8,Colorado,Black,1,98
131,1,Alabama,8,Colorado,Black,2,96
132,1,Alabama,8,Colorado,Black,3,33
133,1,Alabama,8,Colorado,Black,4,25
134,1,Alabama,8,Colorado,Black,5,18
135,1,Alabama,8,Colorado,Hispanic,1,9
136,1,Alabama,8,Colorado,Hispanic,2,11
137,1,Alabama,8,Colorado,Hispanic,3,6
138,1,Alabama,8,Colorado,Hispanic,4,6
139,1,Alabama,8,Colorado,Hispanic,5,13
140,1,Alabama,8,Colorado,Other,1,38
141,1,Alabama,8,Colorado,Other,2,28
142,1,Alabama,8,Colorado,Other,3,21
143,1,Alabama,8,Colorado,Other,4,22
144,1,Alabama,8,Colorado,Other,5,22
145,1,Alabama,8,Colorado,White,1,175
146,1,Alabama,8,Colorado,White,2,204
147,1,Alabama,8,Colorado,White,3,324
148,1,Alabama,8,Colorado,White,4,366
149,1,Alabama,8,Colorado,White,5,582
150,1,Alabama,9,Connecticut,Asian,1,1
151,1,Alabama,9,Connecticut,Asian,2,2
152,1,Alabama,9,Connecticut,Asian,3,1
153,1,Alabama,9,Connecticut,Asian,4,2
154,1,Alabama,9,Connecticut,Asian,5,3
155,1,Alabama,9,Connecticut,Black,1,54
156,1,Alabama,9,Connecticut,Black,2,24
157,1,Alabama,9,Connecticut,Black,3,8
158,1,Alabama,9,Connecticut,Black,4,6
159,1,Alabama,9,Connecticut,Black,5,5
160,1,Alabama,9,Connecticut,Hispanic,1,0
161,1,Alabama,9,Connecticut,Hispanic,2,0
